Abbreviation,State,Hospitals,beds, somethin1,somethin2,somethin3
AK, Alaska	,10	,1274	,44648	,240360	,$5953964
AL, Alabama	,90	,15102	,552677	,2720884	,$62914457
AR, Arkansas	,52	,7964	,310634	,1372414	,$28232928
AS, American Samoa	,1	,0	,0	,0	,$0
AZ, Arizona	,77	,13744	,604065	,2725977	,$86688062
CA, California	,338	,74046	,3013829	,14023359	,$456704351
CO, Colorado	,57	,8314	,386812	,1743318	,$71996613
CT, Connecticut	,35	,8796	,341868	,1703364	,$39352130
DC, Washington D.C.	,7	,2179	,89404	,584481	,$12958215
DE, Delaware	,8	,2036	,89159	,464794	,$7923100
FL, Florida	,218	,56925	,2432768	,11659609	,$354485409
GA, Georgia	,113	,22577	,902245	,4723916	,$115634377
GU, Guam	,3	,342	,9573	,71378	,$462384
HI, Hawaii	,14	,2523	,87730	,507383	,$8215474
IA, Iowa	,40	,6421	,258607	,1187356	,$26044388
ID, Idaho	,18	,2529	,112749	,454106	,$13575852
IL, Illinois	,142	,28832	,1304967	,5487538	,$146012077
IN, Indiana	,102	,15673	,656543	,3082787	,$84588335
KS, Kansas	,55	,6404	,266271	,1171727	,$35483255
KY, Kentucky	,73	,13159	,511393	,2419664	,$59459008
LA, Louisiana	,110	,14922	,493608	,2413897	,$59786758
MA, Massachusetts	,72	,14867	,684136	,3433465	,$67703394
MD, Maryland	,54	,10311	,491332	,2620555	,$18927713
ME, Maine	,19	,2921	,103306	,522591	,$11806438
MI, Michigan	,106	,23245	,1014726	,4657898	,$97485931
MN, Minnesota	,55	,10538	,482529	,2212653	,$47074111
MO, Missouri	,83	,16815	,672359	,3185024	,$77612176
MP, Northern Mariana Islands	,1	,74	,3237	,14502	,$0
MS, Mississippi	,70	,10030	,310443	,1451208	,$35772325
MT, Montana	,18	,2259	,82679	,349974	,$7745979
NC, North Carolina	,108	,22641	,956639	,4765233	,$107810625
ND, North Dakota	,10	,2013	,73144	,359191	,$8995776
NE, Nebraska	,27	,4232	,173082	,813286	,$16200511
NH, New Hampshire	,14	,2296	,102365	,490659	,$13710518
NJ, New Jersey	,78	,20099	,855633	,4276229	,$130128196
NM, New Mexico	,36	,3746	,168292	,766166	,$19130490
NV, Nevada	,31	,5622	,287403	,1418835	,$48630926
NY, New York	,186	,57350	,2180818	,11824694	,$276514805
OH, Ohio	,149	,27997	,1237060	,5523458	,$155159561
OK, Oklahoma	,90	,38322	,398935	,1864793	,$50096902
OR, Oregon	,37	,6297	,301442	,1358267	,$29706314
PA, Pennsylvania	,175	,34902	,1367953	,6500018	,$208694495
PR, Puerto Rico	,52	,8028	,289613	,1677009	,$4897602
RI, Rhode Island	,11	,2429	,99679	,488262	,$10073901
SC, South Carolina	,67	,11680	,464033	,2305975	,$63683473
SD, South Dakota	,24	,2777	,91247	,387758	,$12312044
TN, Tennessee	,98	,18655	,762221	,3644862	,$91319050
TX, Texas	,367	,58777	,2552548	,12137348	,$356521274
UT, Utah	,36	,4824	,198888	,804906	,$20810319
VA, Virginia	,90	,17768	,711729	,3466160	,$87247861
VI, Virgin Islands	,2	,184	,5572	,33229	,$249410
VT, Vermont	,7	,890	,35733	,188441	,$4367904
WA, Washington	,61	,10216	,496172	,2434012	,$65950494
WI, Wisconsin	,78	,11033	,468344	,2184313	,$59593499
WV, West Virginia	,33	,5496	,202479	,1045153	,$20050434
WY, Wyoming	,14	,1280	,30890	,110471	,$3140790
T, T A L	,3922	,774376	,30826211	,148074910	,$3905596378